"Season_End_Year","Squad","Comp","Team_or_Opponent","Num_Players","Mins_Per_90","Gls_Standard","Sh_Standard","SoT_Standard","SoT_percent_Standard","Sh_per_90_Standard","SoT_per_90_Standard","G_per_Sh_Standard","G_per_SoT_Standard","Dist_Standard","FK_Standard","PK_Standard","PKatt_Standard","xG_Expected","npxG_Expected","npxG_per_Sh_Expected","G_minus_xG_Expected","np:G_minus_xG_Expected","Url"
2018,"Schalke 04","Bundesliga","opponent",24,34,36,371,124,33.4,10.91,3.65,0.09,0.27,18.7,15,3,6,40.2,35.6,0.1,-4.2,-2.6,"https://fbref.com/en/squads/c539e393/2017-2018/Schalke-04-Stats"
2018,"Sevilla","La Liga","team",31,38,48,511,174,34.1,13.45,4.58,0.09,0.25,17.7,18,4,5,59.5,55.7,0.11,-11.5,-11.7,"https://fbref.com/en/squads/ad2be733/2017-2018/Sevilla-Stats"
2018,"Sevilla","La Liga","opponent",31,38,57,463,144,31.1,12.18,3.79,0.11,0.36,18.7,25,5,8,54.4,48.1,0.11,2.6,3.9,"https://fbref.com/en/squads/ad2be733/2017-2018/Sevilla-Stats"
2018,"Southampton","Premier League","team",26,38,36,447,136,30.4,11.76,3.58,0.07,0.24,18.1,11,3,3,39.9,37.6,0.09,-3.9,-4.6,"https://fbref.com/en/squads/33c895d4/2017-2018/Southampton-Stats"
2018,"Southampton","Premier League","opponent",26,38,56,490,163,33.3,12.89,4.29,0.11,0.34,18.7,19,1,2,45.2,43.6,0.09,10.8,11.4,"https://fbref.com/en/squads/33c895d4/2017-2018/Southampton-Stats"
2018,"Stoke City","Premier League","team",30,38,34,380,122,32.1,10,3.21,0.09,0.28,18.1,11,0,3,36.5,34.1,0.09,-2.5,-0.1,"https://fbref.com/en/squads/17892952/2017-2018/Stoke-City-Stats"
2018,"Stoke City","Premier League","opponent",30,38,66,574,211,36.8,15.11,5.55,0.11,0.29,17.7,26,5,5,62.5,58.6,0.11,3.5,2.4,"https://fbref.com/en/squads/17892952/2017-2018/Stoke-City-Stats"
2018,"Strasbourg","Ligue 1","team",25,38,43,445,121,27.2,11.71,3.18,0.08,0.3,19.2,21,7,7,45.5,40,0.09,-2.5,-4,"https://fbref.com/en/squads/c0d3eab4/2017-2018/Strasbourg-Stats"
2018,"Strasbourg","Ligue 1","opponent",25,38,67,456,167,36.6,12,4.39,0.13,0.37,17.8,23,6,7,58.4,52.9,0.12,8.6,8.1,"https://fbref.com/en/squads/c0d3eab4/2017-2018/Strasbourg-Stats"
2018,"Stuttgart","Bundesliga","team",26,34,35,362,119,32.9,10.65,3.5,0.09,0.29,18.5,17,1,3,40.3,38,0.11,-5.3,-4,"https://fbref.com/en/squads/598bc722/2017-2018/Stuttgart-Stats"
2018,"Stuttgart","Bundesliga","opponent",26,34,36,435,149,34.3,12.79,4.38,0.07,0.21,18.6,16,4,6,43.5,38.7,0.09,-7.5,-6.7,"https://fbref.com/en/squads/598bc722/2017-2018/Stuttgart-Stats"
2018,"Swansea City","Premier League","team",26,38,27,338,95,28.1,8.89,2.5,0.08,0.27,18.2,15,1,1,31.6,30.8,0.1,-4.6,-4.8,"https://fbref.com/en/squads/fb10988f/2017-2018/Swansea-City-Stats"
2018,"Swansea City","Premier League","opponent",26,38,54,533,184,34.5,14.03,4.84,0.1,0.28,17.7,16,3,6,58.6,53.8,0.1,-4.6,-2.8,"https://fbref.com/en/squads/fb10988f/2017-2018/Swansea-City-Stats"
2018,"Torino","Serie A","team",27,38,53,449,151,33.6,11.82,3.97,0.12,0.35,17.8,21,0,2,46,44.4,0.1,7,8.6,"https://fbref.com/en/squads/105360fe/2017-2018/Torino-Stats"
2018,"Torino","Serie A","opponent",27,38,46,493,152,30.8,12.97,4,0.08,0.27,19.4,18,5,8,47,40.8,0.09,-1,0.2,"https://fbref.com/en/squads/105360fe/2017-2018/Torino-Stats"
2018,"Tottenham","Premier League","team",25,38,70,620,209,33.7,16.32,5.5,0.11,0.33,18.4,28,2,3,64.7,62.3,0.1,5.3,5.7,"https://fbref.com/en/squads/361ca564/2017-2018/Tottenham-Hotspur-Stats"
2018,"Tottenham","Premier League","opponent",25,38,35,353,122,34.6,9.29,3.21,0.09,0.27,16.9,10,2,3,33.9,31.5,0.09,1.1,1.5,"https://fbref.com/en/squads/361ca564/2017-2018/Tottenham-Hotspur-Stats"
2018,"Toulouse","Ligue 1","team",25,38,35,421,132,31.4,11.08,3.47,0.06,0.2,18.9,26,8,11,45.5,37,0.09,-10.5,-10,"https://fbref.com/en/squads/3f8c4b5f/2017-2018/Toulouse-Stats"
