"Season_End_Year","Squad","Comp","Team_or_Opponent","Num_Players","Mins_Per_90","Tkl_Tackles","TklW_Tackles","Def 3rd_Tackles","Mid 3rd_Tackles","Att 3rd_Tackles","Tkl_Challenges","Att_Challenges","Tkl_percent_Challenges","Lost_Challenges","Blocks_Blocks","Sh_Blocks","Pass_Blocks","Int","Tkl+Int","Clr","Err","Url"
2018,"Girona","La Liga","opponent",25,38,653,439,318,268,67,284,644,44.1,360,308,96,212,396,1049,896,16,"https://fbref.com/en/squads/9024a00a/2017-2018/Girona-Stats"
2018,"Gladbach","Bundesliga","team",27,34,674,488,326,277,71,343,598,57.4,255,466,108,358,384,1058,719,17,"https://fbref.com/en/squads/32f3ee20/2017-2018/Monchengladbach-Stats"
2018,"Gladbach","Bundesliga","opponent",27,34,739,527,362,322,55,357,669,53.4,312,484,116,368,425,1164,664,13,"https://fbref.com/en/squads/32f3ee20/2017-2018/Monchengladbach-Stats"
2018,"Guingamp","Ligue 1","team",23,38,640,437,310,271,59,228,672,33.9,444,368,121,247,475,1115,976,15,"https://fbref.com/en/squads/d41b5f53/2017-2018/Guingamp-Stats"
2018,"Guingamp","Ligue 1","opponent",23,38,659,455,330,264,65,218,618,35.3,400,346,80,266,481,1140,894,19,"https://fbref.com/en/squads/d41b5f53/2017-2018/Guingamp-Stats"
2018,"Hamburger SV","Bundesliga","team",29,34,729,543,346,313,70,331,641,51.6,310,496,112,384,367,1096,768,16,"https://fbref.com/en/squads/26790c6a/2017-2018/Hamburger-SV-Stats"
2018,"Hamburger SV","Bundesliga","opponent",29,34,771,552,385,308,78,406,671,60.5,265,473,99,374,385,1156,937,13,"https://fbref.com/en/squads/26790c6a/2017-2018/Hamburger-SV-Stats"
2018,"Hannover 96","Bundesliga","team",26,34,668,490,346,269,53,353,661,53.4,308,474,134,340,382,1050,962,19,"https://fbref.com/en/squads/60b5e41f/2017-2018/Hannover-96-Stats"
2018,"Hannover 96","Bundesliga","opponent",26,34,641,491,277,284,80,254,484,52.5,230,462,97,365,378,1019,777,9,"https://fbref.com/en/squads/60b5e41f/2017-2018/Hannover-96-Stats"
2018,"Hellas Verona","Serie A","team",32,38,664,459,351,245,68,213,603,35.3,390,425,146,279,541,1205,1113,24,"https://fbref.com/en/squads/0e72edf2/2017-2018/Hellas-Verona-Stats"
2018,"Hellas Verona","Serie A","opponent",32,38,630,442,283,277,70,214,584,36.6,370,368,96,272,404,1034,804,9,"https://fbref.com/en/squads/0e72edf2/2017-2018/Hellas-Verona-Stats"
2018,"Hertha BSC","Bundesliga","team",25,34,655,488,325,268,62,313,515,60.8,202,436,91,345,386,1041,876,13,"https://fbref.com/en/squads/2818f8bc/2017-2018/Hertha-BSC-Stats"
2018,"Hertha BSC","Bundesliga","opponent",25,34,619,460,288,278,53,313,553,56.6,240,390,66,324,391,1010,654,10,"https://fbref.com/en/squads/2818f8bc/2017-2018/Hertha-BSC-Stats"
2018,"Hoffenheim","Bundesliga","team",26,34,688,516,325,300,63,320,571,56,251,440,98,342,345,1033,648,15,"https://fbref.com/en/squads/033ea6b8/2017-2018/Hoffenheim-Stats"
2018,"Hoffenheim","Bundesliga","opponent",26,34,692,504,312,305,75,319,552,57.8,233,454,120,334,435,1127,755,15,"https://fbref.com/en/squads/033ea6b8/2017-2018/Hoffenheim-Stats"
2018,"Huddersfield","Premier League","team",25,38,743,502,354,306,83,249,630,39.5,381,453,118,335,518,1261,1129,22,"https://fbref.com/en/squads/f5922ca5/2017-2018/Huddersfield-Town-Stats"
2018,"Huddersfield","Premier League","opponent",25,38,631,433,316,272,43,215,491,43.8,276,408,106,302,440,1071,1081,15,"https://fbref.com/en/squads/f5922ca5/2017-2018/Huddersfield-Town-Stats"
2018,"Inter","Serie A","team",22,38,632,435,318,252,62,237,612,38.7,375,349,109,240,402,1034,804,11,"https://fbref.com/en/squads/d609edc0/2017-2018/Internazionale-Stats"
2018,"Inter","Serie A","opponent",22,38,553,389,253,222,78,194,550,35.3,356,380,112,268,466,1019,1173,15,"https://fbref.com/en/squads/d609edc0/2017-2018/Internazionale-Stats"
2018,"Juventus","Serie A","team",24,38,517,359,234,204,79,155,447,34.7,292,312,77,235,421,938,747,17,"https://fbref.com/en/squads/e0652b02/2017-2018/Juventus-Stats"
2018,"Juventus","Serie A","opponent",24,38,601,363,296,231,74,205,724,28.3,519,431,130,301,467,1068,843,11,"https://fbref.com/en/squads/e0652b02/2017-2018/Juventus-Stats"
2018,"Köln","Bundesliga","team",31,34,678,502,363,274,41,337,635,53.1,298,421,106,315,389,1067,832,17,"https://fbref.com/en/squads/bc357bf7/2017-2018/Koln-Stats"
2018,"Köln","Bundesliga","opponent",31,34,585,447,274,248,63,327,558,58.6,231,427,93,334,367,952,865,16,"https://fbref.com/en/squads/bc357bf7/2017-2018/Koln-Stats"
2018,"La Coruña","La Liga","team",32,38,728,500,386,282,60,292,679,43,387,391,113,278,484,1212,942,13,"https://fbref.com/en/squads/2a60ed82/2017-2018/Deportivo-La-Coruna-Stats"
2018,"La Coruña","La Liga","opponent",32,38,624,431,306,263,55,245,620,39.5,375,356,102,254,491,1115,825,8,"https://fbref.com/en/squads/2a60ed82/2017-2018/Deportivo-La-Coruna-Stats"
2018,"Las Palmas","La Liga","team",36,38,654,433,325,269,60,268,647,41.4,379,367,112,255,508,1162,713,21,"https://fbref.com/en/squads/0049d422/2017-2018/Las-Palmas-Stats"
2018,"Las Palmas","La Liga","opponent",36,38,722,514,306,331,85,264,713,37,449,355,90,265,506,1228,785,5,"https://fbref.com/en/squads/0049d422/2017-2018/Las-Palmas-Stats"
2018,"Lazio","Serie A","team",24,38,677,450,299,298,80,223,632,35.3,409,410,107,303,494,1171,789,12,"https://fbref.com/en/squads/7213da33/2017-2018/Lazio-Stats"
2018,"Lazio","Serie A","opponent",24,38,692,464,351,260,81,244,708,34.5,464,466,122,344,495,1187,952,15,"https://fbref.com/en/squads/7213da33/2017-2018/Lazio-Stats"
2018,"Leganés","La Liga","team",28,38,721,483,350,307,64,323,697,46.3,374,361,87,274,583,1304,777,9,"https://fbref.com/en/squads/7c6f2c78/2017-2018/Leganes-Stats"
2018,"Leganés","La Liga","opponent",28,38,720,474,356,284,80,267,608,43.9,341,371,85,286,432,1152,796,7,"https://fbref.com/en/squads/7c6f2c78/2017-2018/Leganes-Stats"
2018,"Leicester City","Premier League","team",27,38,630,417,332,249,49,208,616,33.8,408,465,130,335,414,1044,1007,17,"https://fbref.com/en/squads/a2d435b3/2017-2018/Leicester-City-Stats"
2018,"Leicester City","Premier League","opponent",27,38,653,437,326,253,74,294,716,41.1,422,374,115,259,402,1055,1084,18,"https://fbref.com/en/squads/a2d435b3/2017-2018/Leicester-City-Stats"
2018,"Levante","La Liga","team",33,38,616,414,328,222,66,239,625,38.2,386,395,127,268,477,1093,811,9,"https://fbref.com/en/squads/9800b6a1/2017-2018/Levante-Stats"
2018,"Levante","La Liga","opponent",33,38,755,522,380,282,93,310,685,45.3,375,380,105,275,454,1209,813,7,"https://fbref.com/en/squads/9800b6a1/2017-2018/Levante-Stats"
