"Season_End_Year","Squad","Comp","Team_or_Opponent","Num_Players","Mins_Per_90","Cmp_Total","Att_Total","Cmp_percent_Total","TotDist_Total","PrgDist_Total","Cmp_Short","Att_Short","Cmp_percent_Short","Cmp_Medium","Att_Medium","Cmp_percent_Medium","Cmp_Long","Att_Long","Cmp_percent_Long","Ast","xAG","xA_Expected","A_minus_xAG_Expected","KP","Final_Third","PPA","CrsPA","PrgP","Url"
2018,"Schalke 04","Bundesliga","team",24,34,12134,15744,77.1,234185,86567,4613,5429,85,5868,7010,83.7,1509,2762,54.6,33,31.4,28,1.6,312,829,195,55,1248,"https://fbref.com/en/squads/c539e393/2017-2018/Schalke-04-Stats"
2018,"Schalke 04","Bundesliga","opponent",24,34,14287,18165,78.7,269233,97078,5615,6572,85.4,6563,7597,86.4,1768,3074,57.5,25,24.9,26.9,0.1,261,1035,208,65,1379,"https://fbref.com/en/squads/c539e393/2017-2018/Schalke-04-Stats"
2018,"Sevilla","La Liga","team",31,38,16366,20571,79.6,280397,106920,8012,9022,88.8,6227,7403,84.1,1648,2973,55.4,35,42.8,36.9,-7.8,395,1304,343,56,1824,"https://fbref.com/en/squads/ad2be733/2017-2018/Sevilla-Stats"
2018,"Sevilla","La Liga","opponent",31,38,13236,17336,76.3,241507,94007,6031,6923,87.1,5068,6128,82.7,1726,3286,52.5,39,36.6,31.4,2.4,330,1064,262,76,1410,"https://fbref.com/en/squads/ad2be733/2017-2018/Sevilla-Stats"
2018,"Southampton","Premier League","team",26,38,14336,19027,75.3,248346,90480,6923,7931,87.3,5463,6720,81.3,1497,3220,46.5,23,29.5,31.3,-6.5,343,1154,288,77,1609,"https://fbref.com/en/squads/33c895d4/2017-2018/Southampton-Stats"
2018,"Southampton","Premier League","opponent",26,38,13666,18211,75,249670,97068,5999,7099,84.5,5594,6863,81.5,1629,3169,51.4,43,33.7,30.8,9.3,370,1208,302,73,1443,"https://fbref.com/en/squads/33c895d4/2017-2018/Southampton-Stats"
2018,"Stoke City","Premier League","team",30,38,10122,14569,69.5,194245,88499,4435,5386,82.3,3825,5023,76.1,1514,3194,47.4,28,27.4,25.8,0.6,288,921,230,60,1150,"https://fbref.com/en/squads/17892952/2017-2018/Stoke-City-Stats"
2018,"Stoke City","Premier League","opponent",30,38,16444,21090,78,286852,106086,7479,8547,87.5,6730,8047,83.6,1658,3252,51,49,46.3,41.9,2.7,424,1297,377,91,1749,"https://fbref.com/en/squads/17892952/2017-2018/Stoke-City-Stats"
2018,"Strasbourg","Ligue 1","team",25,38,12776,16942,75.4,244597,93595,5386,6276,85.8,4960,6017,82.4,1992,3633,54.8,26,29.8,28.8,-3.8,315,929,245,82,1289,"https://fbref.com/en/squads/c0d3eab4/2017-2018/Strasbourg-Stats"
2018,"Strasbourg","Ligue 1","opponent",25,38,13578,17593,77.2,239493,98985,6282,7264,86.5,5060,6183,81.8,1634,2933,55.7,45,42.7,36.4,2.3,344,1120,250,78,1631,"https://fbref.com/en/squads/c0d3eab4/2017-2018/Strasbourg-Stats"
2018,"Stuttgart","Bundesliga","team",26,34,12150,16172,75.1,236442,91682,4778,5625,84.9,5520,6643,83.1,1628,3245,50.2,22,26.3,26.3,-4.3,250,953,201,76,1026,"https://fbref.com/en/squads/598bc722/2017-2018/Stuttgart-Stats"
2018,"Stuttgart","Bundesliga","opponent",26,34,14373,18342,78.4,274132,102980,5734,6760,84.8,6363,7555,84.2,1954,3209,60.9,24,29.5,32.5,-5.5,320,1315,248,67,1577,"https://fbref.com/en/squads/598bc722/2017-2018/Stuttgart-Stats"
2018,"Swansea City","Premier League","team",26,38,13223,17437,75.8,247025,93673,5802,6660,87.1,5291,6513,81.2,1760,3374,52.2,20,20.2,19.7,-0.2,223,973,190,57,1194,"https://fbref.com/en/squads/fb10988f/2017-2018/Swansea-City-Stats"
2018,"Swansea City","Premier League","opponent",26,38,17707,21866,81,311296,110365,8115,9060,89.6,7233,8379,86.3,1802,3261,55.3,37,42.1,38.5,-5.1,403,1482,366,88,1838,"https://fbref.com/en/squads/fb10988f/2017-2018/Swansea-City-Stats"
2018,"Torino","Serie A","team",27,38,14584,18605,78.4,260991,97027,6629,7542,87.9,5756,6887,83.6,1726,3032,56.9,36,35.1,29.8,0.9,342,1014,282,70,1425,"https://fbref.com/en/squads/105360fe/2017-2018/Torino-Stats"
2018,"Torino","Serie A","opponent",27,38,13753,17931,76.7,254041,96932,5887,6810,86.4,5633,6773,83.2,1787,3299,54.2,31,32.8,31.9,-1.8,371,1081,267,74,1421,"https://fbref.com/en/squads/105360fe/2017-2018/Torino-Stats"
2018,"Tottenham","Premier League","team",25,38,19284,23695,81.4,363818,126442,7604,8618,88.2,9105,10458,87.1,2278,3694,61.7,51,49,43.6,2,462,1793,394,63,2249,"https://fbref.com/en/squads/361ca564/2017-2018/Tottenham-Hotspur-Stats"
2018,"Tottenham","Premier League","opponent",25,38,10279,14649,70.2,194241,82717,4476,5395,83,3802,4875,78,1553,3268,47.5,22,22.1,21.6,-0.1,250,797,204,54,1028,"https://fbref.com/en/squads/361ca564/2017-2018/Tottenham-Hotspur-Stats"
2018,"Toulouse","Ligue 1","team",25,38,11368,15755,72.2,215845,96757,4992,6041,82.6,4492,5705,78.7,1613,3169,50.9,24,29.1,31.1,-5.1,304,1172,227,103,1473,"https://fbref.com/en/squads/3f8c4b5f/2017-2018/Toulouse-Stats"
2018,"Toulouse","Ligue 1","opponent",25,38,14641,18947,77.3,253318,99492,6941,7883,88.1,5233,6343,82.5,1712,3220,53.2,35,37.5,37.1,-2.5,361,1187,295,88,1573,"https://fbref.com/en/squads/3f8c4b5f/2017-2018/Toulouse-Stats"
2018,"Troyes","Ligue 1","team",25,38,12006,16326,73.5,220755,91015,5311,6283,84.5,4514,5565,81.1,1673,3244,51.6,21,26.5,24.9,-5.5,270,979,229,75,1333,"https://fbref.com/en/squads/54195385/2017-2018/Troyes-Stats"
