"Season_End_Year","Squad","Comp","Team_or_Opponent","Num_Players","Mins_Per_90","Att","Live_Pass","Dead_Pass","FK_Pass","TB_Pass","Sw_Pass","Crs_Pass","TI_Pass","CK_Pass","In_Corner","Out_Corner","Str_Corner","Cmp_Outcomes","Off_Outcomes","Blocks_Outcomes","Url"
2018,"Metz","Ligue 1","team",36,38,16957,14872,2029,540,18,258,701,884,173,68,86,1,12673,56,385,"https://fbref.com/en/squads/f83960ae/2017-2018/Metz-Stats"
2018,"Metz","Ligue 1","opponent",36,38,20255,18134,2017,547,81,174,712,895,198,80,80,4,16131,104,361,"https://fbref.com/en/squads/f83960ae/2017-2018/Metz-Stats"
2018,"Milan","Serie A","team",24,38,21918,19865,1965,588,28,255,872,786,244,120,54,2,18086,88,401,"https://fbref.com/en/squads/dc56fe14/2017-2018/Milan-Stats"
2018,"Milan","Serie A","opponent",24,38,17406,15408,1891,558,34,153,633,734,150,72,53,3,13644,107,399,"https://fbref.com/en/squads/dc56fe14/2017-2018/Milan-Stats"
2018,"Monaco","Ligue 1","team",32,38,18393,16296,2024,584,68,151,764,839,195,82,67,2,14444,73,337,"https://fbref.com/en/squads/fd6114db/2017-2018/Monaco-Stats"
2018,"Monaco","Ligue 1","opponent",32,38,17814,15709,2021,546,57,189,736,848,179,69,79,7,13662,84,367,"https://fbref.com/en/squads/fd6114db/2017-2018/Monaco-Stats"
2018,"Montpellier","Ligue 1","team",23,38,17725,15597,2045,578,47,228,849,943,185,42,122,0,13612,83,394,"https://fbref.com/en/squads/281b0e73/2017-2018/Montpellier-Stats"
2018,"Montpellier","Ligue 1","opponent",23,38,19926,17878,1995,494,43,179,632,931,160,71,75,1,15796,53,326,"https://fbref.com/en/squads/281b0e73/2017-2018/Montpellier-Stats"
2018,"Málaga","La Liga","team",37,38,15769,13674,2006,580,32,179,742,861,153,63,67,2,11424,89,347,"https://fbref.com/en/squads/1c896955/2017-2018/Malaga-Stats"
2018,"Málaga","La Liga","opponent",37,38,20218,17998,2083,663,49,223,695,887,176,64,68,0,15890,137,333,"https://fbref.com/en/squads/1c896955/2017-2018/Malaga-Stats"
2018,"Nantes","Ligue 1","team",30,38,16263,14232,1946,425,24,143,789,926,175,49,111,1,11823,85,365,"https://fbref.com/en/squads/d7a486cd/2017-2018/Nantes-Stats"
2018,"Nantes","Ligue 1","opponent",30,38,20918,18710,2168,543,43,235,868,985,226,89,103,3,16435,40,460,"https://fbref.com/en/squads/d7a486cd/2017-2018/Nantes-Stats"
2018,"Napoli","Serie A","team",23,38,29387,27433,1874,456,95,180,672,871,240,118,55,16,25306,80,424,"https://fbref.com/en/squads/d48ad4ff/2017-2018/Napoli-Stats"
2018,"Napoli","Serie A","opponent",23,38,16906,15022,1787,408,21,158,461,738,129,55,51,1,12948,97,392,"https://fbref.com/en/squads/d48ad4ff/2017-2018/Napoli-Stats"
2018,"Newcastle Utd","Premier League","team",27,38,15659,13725,1871,444,67,114,616,837,167,75,58,8,11071,63,355,"https://fbref.com/en/squads/b2b47a98/2017-2018/Newcastle-United-Stats"
2018,"Newcastle Utd","Premier League","opponent",27,38,22043,19957,2007,448,55,200,805,972,223,105,74,11,17255,79,470,"https://fbref.com/en/squads/b2b47a98/2017-2018/Newcastle-United-Stats"
2018,"Nice","Ligue 1","team",31,38,23523,21602,1858,570,40,278,572,672,203,71,115,1,20210,63,348,"https://fbref.com/en/squads/132ebc33/2017-2018/Nice-Stats"
2018,"Nice","Ligue 1","opponent",31,38,17085,15333,1690,475,46,180,704,685,179,57,62,1,13708,62,351,"https://fbref.com/en/squads/132ebc33/2017-2018/Nice-Stats"
2018,"Paris S-G","Ligue 1","team",28,38,26436,24471,1872,553,216,228,682,736,254,80,55,6,23215,93,380,"https://fbref.com/en/squads/e2d8892c/2017-2018/Paris-Saint-Germain-Stats"
2018,"Paris S-G","Ligue 1","opponent",28,38,13432,11646,1694,478,40,128,611,552,149,68,58,0,10273,92,303,"https://fbref.com/en/squads/e2d8892c/2017-2018/Paris-Saint-Germain-Stats"
2018,"RB Leipzig","Bundesliga","team",23,34,18354,16360,1907,574,53,55,521,865,168,74,67,3,14318,87,443,"https://fbref.com/en/squads/acbb6a5b/2017-2018/RB-Leipzig-Stats"
