"Season_End_Year","Squad","Comp","Player","Nation","Pos","Age","Born","Mins_Per_90","GA_Goals","PKA_Goals","FK_Goals","CK_Goals","OG_Goals","PSxG_Expected","PSxG_per_SoT_Expected","PSxG+_per__minus__Expected","_per_90_Expected","Cmp_Launched","Att_Launched","Cmp_percent_Launched","Att (GK)_Passes","Thr_Passes","Launch_percent_Passes","AvgLen_Passes","Att_Goal","Launch_percent_Goal","AvgLen_Goal","Opp_Crosses","Stp_Crosses","Stp_percent_Crosses","#OPA_Sweeper","#OPA_per_90_Sweeper","AvgDist_Sweeper","Url"
2018,"Atlético Madrid","La Liga","Axel Werner","ARG","GK","21",1996,1,0,0,0,0,0,0.5,0.17,0.5,0.5,3,15,20,10,1,80,51.2,7,100,56.4,16,1,6.3,1,1,13.5,"https://fbref.com/en/players/c0b1a6da/Axel-Werner"
2018,"Augsburg","Bundesliga","Marwin Hitz","SUI","GK","29",1987,32,42,1,2,11,0,42,0.26,0,0,264,552,47.8,881,150,45.1,37.8,267,58.1,44.6,440,29,6.6,17,0.53,12.5,"https://fbref.com/en/players/2e7ff968/Marwin-Hitz"
2018,"Augsburg","Bundesliga","Andreas Luthe","GER","GK","30",1987,2,4,1,0,0,0,3.5,0.35,-0.5,-0.26,10,26,38.5,65,12,32.3,32.1,14,35.7,35.4,31,5,16.1,1,0.5,6.6,"https://fbref.com/en/players/7fe12375/Andreas-Luthe"
2018,"Barcelona","La Liga","Jasper Cillessen","NED","GK","28",1989,1,1,0,0,0,0,0.7,0.1,-0.3,-0.32,1,6,16.7,21,5,23.8,27.9,10,10,30.4,7,0,0,0,0,7.7,"https://fbref.com/en/players/04ac8285/Jasper-Cillessen"
2018,"Barcelona","La Liga","Marc-André ter Stegen","GER","GK","25",1992,37,28,2,0,1,0,36.3,0.27,8.3,0.22,129,304,42.4,1040,192,17.5,27.5,262,46.6,41.7,404,15,3.7,41,1.11,15.1,"https://fbref.com/en/players/6f51e382/Marc-Andre-ter-Stegen"
2018,"Bayern Munich","Bundesliga","Manuel Neuer","GER","GK","31",1986,3,2,0,0,0,0,2.6,0.38,0.6,0.21,12,23,52.2,78,11,25.6,31.8,17,17.6,31.6,15,1,6.7,4,1.33,15.1,"https://fbref.com/en/players/8778c910/Manuel-Neuer"
2018,"Bayern Munich","Bundesliga","Tom Starke","GER","GK","36",1981,2,0,0,0,0,0,0.7,0.17,0.7,0.34,4,18,22.2,48,9,27.1,31.9,9,55.6,42.7,18,1,5.6,1,0.5,20.3,"https://fbref.com/en/players/5b52d1f7/Tom-Starke"
2018,"Bayern Munich","Bundesliga","Sven Ulreich","GER","GK","28",1988,29,26,1,1,2,3,25.3,0.26,2.3,0.08,137,328,41.8,795,141,33.1,32.5,153,42.5,39.8,247,15,6.1,37,1.28,15.4,"https://fbref.com/en/players/7d3e7da6/Sven-Ulreich"
2018,"Benevento","Serie A","Vid Belec","SVN","GK","27",1990,12.4,27,3,1,1,2,28.9,0.36,3.9,0.32,54,171,31.6,264,70,42,37.4,108,55.6,43.4,209,13,6.2,9,0.73,11.4,"https://fbref.com/en/players/4f8ce0e1/Vid-Belec"
2018,"Benevento","Serie A","Alberto Brignoli","ITA","GK","25",1991,12.5,31,2,0,6,0,26,0.35,-5,-0.4,87,263,33.1,384,63,47.7,39.4,116,69,51.1,204,20,9.8,27,2.16,16.3,"https://fbref.com/en/players/6989550f/Alberto-Brignoli"
